City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,kruisfontein,-34.0033,24.7314,17.71,87,100,3.85,ZA,1715141265
155,hollola,61.05,25.4333,-0.3,53,0,3.76,FI,1715141265
156,zykovo,55.9519,93.1461,17.41,36,100,4.41,RU,1715141265
157,wad rawah,15.1603,33.1397,26.71,13,41,4.93,SD,1715141265
158,yeniseysk,58.4497,92.1703,9.41,57,100,4.02,RU,1715141266
159,punta del este,-34.9667,-54.95,20.54,97,75,2.06,UY,1715141266
160,adrar,20.5022,-10.0711,29.53,9,16,4.7,MR,1715141266
161,kamogawa,35.1,140.1,22.98,59,80,4.18,JP,1715141266
162,colonia,50.9333,6.95,13.31,90,40,1.03,DE,1715141238
163,albany,42.6001,-73.9662,14.7,62,100,1.39,US,1715141257
164,chibougamau,49.9168,-74.3659,1.4,81,100,1.56,CA,1715141267
165,kalmunai,7.4167,81.8167,32.13,61,51,5.54,LK,1715141267
166,kayangel,8.0823,134.7173,28.54,74,47,3.86,PW,1715141267
167,muana,-1.5283,-49.2167,24.29,94,100,1.87,BR,1715141267
168,naters,46.3254,7.9891,9.21,100,100,1.56,CH,1715141267
169,sultangazi,41.1065,28.8685,15.66,85,0,1.54,TR,1715141268
170,codrington,-38.2667,141.9667,17.81,58,8,3.96,AU,1715141268
171,warrnambool,-38.3833,142.4833,16.94,66,22,3.63,AU,1715141099
172,yakutsk,62.0339,129.7331,8.98,40,40,5.0,RU,1715141268
173,lautoka,-17.6167,177.4667,27.92,61,20,6.17,FJ,1715141268
174,jakiri,6.1,10.65,17.85,76,100,0.59,CM,1715141268
175,margaret river,-33.95,115.0667,22.94,40,75,3.91,AU,1715141060
176,toguchin,55.2353,84.3858,14.33,64,7,6.19,RU,1715141269
177,kourou,5.1552,-52.6478,26.03,90,99,2.88,GF,1715141269
178,gadzhiyevo,69.2551,33.3362,-0.73,76,100,5.52,RU,1715141269
179,nar'yan-mar,67.6713,53.087,-8.27,94,97,4.92,RU,1715141269
180,utrik,11.2278,169.8474,27.35,81,13,9.11,MH,1715141269
181,mayuge,0.4597,33.4803,18.77,93,87,0.67,UG,1715141269
182,homer,59.6425,-151.5483,8.76,63,75,2.24,US,1715141270
183,tazacorte,28.629,-17.9293,20.08,88,100,4.12,ES,1715141270
184,buka,40.8108,69.1986,26.52,36,99,0.91,UZ,1715141270
185,viqueque,-8.8673,126.3658,28.17,73,41,2.77,TL,1715141270
186,macau,22.2006,113.5461,27.89,94,40,4.12,MO,1715141270
187,al jawf,29.5,38.75,15.82,40,0,5.28,SA,1715141271
188,sansanne-mango,10.3592,0.4708,29.68,57,99,2.13,TG,1715141271
189,eyl,7.9803,49.8164,28.88,75,8,2.18,SO,1715141271
190,almunecar,36.7339,-3.6907,18.31,82,100,1.78,ES,1715141271
191,qamdo,31.1667,97.2333,10.12,31,90,0.58,CN,1715141271
192,sarandi del yi,-33.35,-55.6333,19.97,97,100,5.49,UY,1715141272
193,buala,-8.145,159.5921,29.21,79,88,3.27,SB,1715141272
194,kwang binh,17.4833,106.6,29.69,65,97,4.05,VN,1715141272
195,nuuk,64.1835,-51.7216,-0.66,74,15,5.14,GL,1715141273
196,berkovitsa,43.2361,23.1258,15.53,78,41,1.9,BG,1715141273
197,tralee,52.2704,-9.7026,9.12,88,100,1.77,IE,1715141273
198,st. john's,47.5649,-52.7093,5.66,96,100,0.0,CA,1715141243
